City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,patarra,9.8807,-84.035,21.7,82,100,1.34,CR,1691379314
1,port-aux-francais,-49.35,70.2167,6.47,90,100,14.88,TF,1691379314
2,puerto natales,-51.7236,-72.4875,-1.29,85,89,1.61,CL,1691379314
3,qaqortoq,60.7167,-46.0333,4.64,92,34,1.2,GL,1691379314
4,ushuaia,-54.8,-68.3,-3.16,95,99,2.14,AR,1691379315
5,grafton,42.207,-71.6856,20.4,83,0,3.6,US,1691379315
6,papatowai,-46.5619,169.4708,5.11,92,100,8.27,NZ,1691379316
7,adamstown,-25.066,-130.1015,20.7,67,40,7.11,PN,1691379316
8,utrik,11.2278,169.8474,28.51,76,100,7.53,MH,1691379316
9,pompeia,-22.1086,-50.1717,17.84,37,0,1.8,BR,1691379316
10,qorovulbozor,39.5006,64.7936,28.84,20,1,4.51,UZ,1691379317
11,waitangi,-43.9535,-176.5597,8.79,81,97,0.89,NZ,1691379317
12,punta arenas,-53.15,-70.9167,1.89,68,83,6.26,CL,1691379318
13,olonkinbyen,70.9221,-8.7187,3.94,83,95,7.85,SJ,1691379318
14,albany,42.6001,-73.9662,19.26,80,100,1.35,US,1691379318
15,pemangkat,1.1667,108.9667,27.56,77,81,0.93,ID,1691379318
16,coquimbo,-29.9533,-71.3436,13.85,76,0,1.54,CL,1691379319
17,tyukhtet,56.5389,89.3011,20.92,44,58,1.31,RU,1691379319
18,pauini,-7.7136,-66.9764,26.6,54,100,0.53,BR,1691379320
19,enewetak,11.3474,162.3373,28.71,69,64,3.86,MH,1691379320
20,longyearbyen,78.2186,15.6401,9.91,71,75,2.06,SJ,1691379320
21,port blair,11.6667,92.75,30.02,79,40,6.17,IN,1691379321
22,alofi,-19.0595,-169.9187,25.94,83,75,3.09,NU,1691379321
23,obudu,6.6674,9.1716,21.91,99,100,1.51,NG,1691379321
24,rouissat,31.9243,5.3502,29.04,26,0,2.57,DZ,1691379321
25,port alfred,-33.5906,26.891,14.61,82,2,2.72,ZA,1691379322
26,saldanha,-33.0117,17.9442,12.03,88,0,2.71,ZA,1691379322
27,grytviken,-54.2811,-36.5092,-5.78,95,100,4.26,GS,1691379322
28,bilibino,68.0546,166.4372,1.68,89,100,3.46,RU,1691379322
29,new norfolk,-42.7826,147.0587,14.95,49,99,1.6,AU,1691379323
30,port elizabeth,-33.918,25.5701,13.16,82,75,1.03,ZA,1691379323
31,vologda,59.2187,39.8886,21.27,80,0,2.71,RU,1691379323
32,smithers,54.7804,-127.1743,20.18,64,40,3.6,CA,1691379324
33,mejit,10.2753,170.8646,28.45,76,100,8.78,MH,1691379324
34,edinburgh of the seven seas,-37.0676,-12.3116,11.49,56,35,13.57,SH,1691379324
35,sur,22.5667,59.5289,31.25,59,57,3.49,OM,1691379324
36,miguel ahumada,30.6167,-106.5167,35.0,17,49,2.62,MX,1691379325
37,lebu,-37.6167,-73.65,9.04,85,1,2.42,CL,1691379325
38,margaret river,-33.95,115.0667,16.38,70,17,6.77,AU,1691379326
39,bethel,41.3712,-73.414,22.58,81,0,2.57,US,1691379327
40,espumoso,-28.7247,-52.8497,16.7,75,11,2.42,BR,1691379327
41,invercargill,-46.4,168.35,5.33,87,100,5.34,NZ,1691379327
42,palmas,-10.2128,-48.3603,23.93,57,0,0.51,BR,1691379327
43,bredasdorp,-34.5322,20.0403,9.03,95,0,1.49,ZA,1691379328
44,college,64.8569,-147.8028,26.97,47,75,2.57,US,1691379328
45,ilulissat,69.2167,-51.1,7.01,65,33,1.03,GL,1691379328
46,senillosa,-39.0,-68.4167,4.88,32,0,5.6,AR,1691379329
47,chonchi,-42.6128,-73.8092,1.73,94,29,0.24,CL,1691379329
48,aykhal,66.0,111.5,17.82,35,100,5.45,RU,1691379236
49,san patricio,28.017,-97.5169,29.92,80,3,6.19,US,1691379329
50,beaufort west,-32.3567,22.583,10.87,65,0,1.79,ZA,1691379330
51,port mathurin,-19.6833,63.4167,21.99,65,95,10.79,MU,1691379330
52,afaahiti,-17.75,-149.2833,25.93,74,55,4.06,PF,1691379330
53,saint-pierre,-21.3393,55.4781,20.82,73,0,9.77,RE,1691379330
54,levuka,50.1834,-105.4011,16.9,34,77,0.73,CA,1691379331
55,macia,-25.0269,33.0989,13.38,88,0,0.93,MZ,1691379331
56,vilyuchinsk,52.9306,158.4028,17.15,75,100,3.31,RU,1691379331
57,rio hato,8.3833,-80.1667,23.04,85,100,3.13,PA,1691379332
58,verkhnevilyuysk,63.4453,120.3167,25.0,35,39,2.79,RU,1691379332
59,tha khanon,9.0302,98.9529,32.38,55,100,3.4,TH,1691379091
60,geraldton,-28.7667,114.6,21.23,73,100,0.51,AU,1691379235
61,cha-am,12.8,99.9667,33.36,58,20,3.6,TH,1691379104
62,klyuchi,52.2667,79.1667,22.48,39,0,5.29,RU,1691379333
63,colares,38.7992,-9.4469,27.55,56,0,4.05,PT,1691379333
64,longgang,37.6508,120.3286,24.55,74,34,8.35,CN,1691379334
65,yellowknife,62.456,-114.3525,17.29,59,75,4.12,CA,1691379334
66,iskateley,67.6803,53.1512,11.64,93,100,5.32,RU,1691379334
67,ivanovskoye,44.5795,41.8764,24.72,57,0,1.6,RU,1691379335
68,hermanus,-34.4187,19.2345,12.11,86,0,3.24,ZA,1691379335
69,phan thiet,10.9333,108.1,30.97,65,7,6.92,VN,1691379336
70,pisco,-13.7,-76.2167,19.03,77,0,6.17,PE,1691379329
71,keflavik,64.0049,-22.5624,11.24,93,75,2.06,IS,1691379336
72,badger,64.8,-147.5333,26.93,48,100,2.57,US,1691379337
73,chibougamau,49.9168,-74.3659,14.79,88,0,1.03,CA,1691379337
74,iqaluit,63.7506,-68.5145,6.85,87,75,1.03,CA,1691379337
75,whitehorse,60.7161,-135.0538,27.43,28,75,6.17,CA,1691379337
76,harper,4.375,-7.7169,24.75,81,88,3.31,LR,1691379338
77,fale old settlement,-9.3852,-171.2468,28.46,69,13,5.32,TK,1691379338
78,aasiaat,68.7098,-52.8699,0.54,74,80,2.37,GL,1691379338
79,tomatlan,19.9333,-105.25,24.31,98,100,1.99,MX,1691379338
